":START_ID",":END_ID","unique_key",":TYPE"
"pub_journals/ijscn/PourmoghadasSCO17","journal_ijscn","pub_journals/ijscn/PourmoghadasSCO17_journal_ijscn","PUBLISHED_IN"
"pub_journals/ijscn/KatonaGDKBBB20","journal_ijscn","pub_journals/ijscn/KatonaGDKBBB20_journal_ijscn","PUBLISHED_IN"
"pub_journals/ijscn/XuDL21","journal_ijscn","pub_journals/ijscn/XuDL21_journal_ijscn","PUBLISHED_IN"
"pub_journals/tsp/YinZML05","journal_tsp","pub_journals/tsp/YinZML05_journal_tsp","PUBLISHED_IN"
"pub_journals/itiis/KuangGL23","journal_itiis","pub_journals/itiis/KuangGL23_journal_itiis","PUBLISHED_IN"
"pub_journals/iet-ipr/PatilB18","journal_iet-ipr","pub_journals/iet-ipr/PatilB18_journal_iet-ipr","PUBLISHED_IN"
"pub_journals/firstmonday/Boyd06","journal_firstmonday","pub_journals/firstmonday/Boyd06_journal_firstmonday","PUBLISHED_IN"
"pub_journals/firstmonday/Stevens19","journal_firstmonday","pub_journals/firstmonday/Stevens19_journal_firstmonday","PUBLISHED_IN"
"pub_journals/giq/Griffith01","journal_giq","pub_journals/giq/Griffith01_journal_giq","PUBLISHED_IN"
"pub_journals/fgcs/GrantD93","journal_fgcs","pub_journals/fgcs/GrantD93_journal_fgcs","PUBLISHED_IN"
"pub_journals/toms/PallottinoT81","journal_toms","pub_journals/toms/PallottinoT81_journal_toms","PUBLISHED_IN"
"pub_journals/information/TianPHZ21","journal_information","pub_journals/information/TianPHZ21_journal_information","PUBLISHED_IN"
"pub_journals/information/OtoomKHSH19","journal_information","pub_journals/information/OtoomKHSH19_journal_information","PUBLISHED_IN"
"pub_journals/tcs/Kim94","journal_tcs","pub_journals/tcs/Kim94_journal_tcs","PUBLISHED_IN"
"pub_journals/cbsn/LiuK07","journal_cbsn","pub_journals/cbsn/LiuK07_journal_cbsn","PUBLISHED_IN"
"pub_journals/cbsn/Lee-WonANW16","journal_cbsn","pub_journals/cbsn/Lee-WonANW16_journal_cbsn","PUBLISHED_IN"
"pub_journals/jikm/Al-JanabiA16","journal_jikm","pub_journals/jikm/Al-JanabiA16_journal_jikm","PUBLISHED_IN"
"pub_journals/ipl/Group95","journal_ipl","pub_journals/ipl/Group95_journal_ipl","PUBLISHED_IN"
"pub_journals/jdi/BhanotS17","journal_jdi","pub_journals/jdi/BhanotS17_journal_jdi","PUBLISHED_IN"
"pub_journals/smr/Hamouda13","journal_smr","pub_journals/smr/Hamouda13_journal_smr","PUBLISHED_IN"
"pub_journals/smr/ZeroualiMGDCR19","journal_smr","pub_journals/smr/ZeroualiMGDCR19_journal_smr","PUBLISHED_IN"
"pub_journals/smr/PaasivaaraL14","journal_smr","pub_journals/smr/PaasivaaraL14_journal_smr","PUBLISHED_IN"
"pub_journals/cstat/SchellhaseK12","journal_cstat","pub_journals/cstat/SchellhaseK12_journal_cstat","PUBLISHED_IN"
"pub_journals/iam/YinZWZWZ22","journal_iam","pub_journals/iam/YinZWZWZ22_journal_iam","PUBLISHED_IN"
"pub_journals/spic/Bian20","journal_spic","pub_journals/spic/Bian20_journal_spic","PUBLISHED_IN"
"pub_journals/vlsisp/ZhouPC20","journal_vlsisp","pub_journals/vlsisp/ZhouPC20_journal_vlsisp","PUBLISHED_IN"
"pub_journals/ife/Hasselbring98","journal_ife","pub_journals/ife/Hasselbring98_journal_ife","PUBLISHED_IN"
"pub_journals/jbcb/ChinnasamySM05","journal_jbcb","pub_journals/jbcb/ChinnasamySM05_journal_jbcb","PUBLISHED_IN"
"pub_journals/jmrr/HamouMTAAM24","journal_jmrr","pub_journals/jmrr/HamouMTAAM24_journal_jmrr","PUBLISHED_IN"
"pub_journals/jois/XieFHY15","journal_jois","pub_journals/jois/XieFHY15_journal_jois","PUBLISHED_IN"
"pub_journals/cg/StrackBDSGPMP94","journal_cg","pub_journals/cg/StrackBDSGPMP94_journal_cg","PUBLISHED_IN"
"pub_journals/icl/BocusDC13","journal_icl","pub_journals/icl/BocusDC13_journal_icl","PUBLISHED_IN"
"pub_journals/jasis/SuLLL17","journal_jasis","pub_journals/jasis/SuLLL17_journal_jasis","PUBLISHED_IN"
"pub_journals/ijhci/WangDZYG24","journal_ijhci","pub_journals/ijhci/WangDZYG24_journal_ijhci","PUBLISHED_IN"
"pub_journals/jct/GeelenHR18","journal_jct","pub_journals/jct/GeelenHR18_journal_jct","PUBLISHED_IN"
