":START_ID",":END_ID","is_corresponding:boolean",":TYPE"
"author_Ann_Now","conf/rlc/AvalosBNRO24","False","WRITE"
"author_Diederik_M._Roijers","conf/rlc/AvalosBNRO24","False","WRITE"
"author_Frans_A._Oliehoek","conf/rlc/AvalosBNRO24","False","WRITE"
"author_Sotetsu_Koyamada","conf/rlc/KoyamadaNI24","True","WRITE"
"author_Soichiro_Nishimori","conf/rlc/KoyamadaNI24","False","WRITE"
"author_Shin_Ishii","conf/rlc/KoyamadaNI24","False","WRITE"
"author_Changling_Li","conf/rlc/LiH0GP24","True","WRITE"
"author_Zhang-Wei_Hong","conf/rlc/LiH0GP24","False","WRITE"
"author_Pulkit_Agrawal_0001","conf/rlc/LiH0GP24","False","WRITE"
"author_Divyansh_Garg","conf/rlc/LiH0GP24","False","WRITE"
"author_Joni_Pajarinen","conf/rlc/LiH0GP24","False","WRITE"
"author_Riccardo_Zamboni","conf/rlc/ZamboniCRM24","True","WRITE"
"author_Duilio_Cirino","conf/rlc/ZamboniCRM24","False","WRITE"
"author_Marcello_Restelli","conf/rlc/ZamboniCRM24","False","WRITE"
"author_Mirco_Mutti","conf/rlc/ZamboniCRM24","False","WRITE"
"author_Gaspard_Lambrechts","conf/rlc/LambrechtsBE24","True","WRITE"
"author_Adrien_Bolland","conf/rlc/LambrechtsBE24","False","WRITE"
"author_Damien_Ernst","conf/rlc/LambrechtsBE24","False","WRITE"
"author_Brett_Daley","conf/rlc/DaleyMW24","True","WRITE"
"author_Marlos_C._Machado","conf/rlc/DaleyMW24","False","WRITE"
"author_Martha_White","conf/rlc/DaleyMW24","False","WRITE"
"author_Noah_Golowich","conf/rlc/GolowichM24","True","WRITE"
