entity,id,cluster,x,y
http://example.org/publication-ontology#author_Angela_Langdon,101,0,0.019712895,0.29724956
http://example.org/publication-ontology#author_Anikait_Singh,102,2,-0.34337693,-0.044501305
http://example.org/publication-ontology#author_Anis_Charfi,103,2,-0.23885459,-0.12789983
http://example.org/publication-ontology#author_Anisha_Singrodia,104,2,-0.37574336,-0.043237865
http://example.org/publication-ontology#author_Ankur_Moitra,105,2,-0.2865012,-0.0034163594
http://example.org/publication-ontology#author_Ankush_Mittal,106,2,-0.15417492,-0.083228946
http://example.org/publication-ontology#author_Ann_Now,107,0,-0.045677356,0.19866681
http://example.org/publication-ontology#author_Anna_Harutyunyan,108,2,-0.08822978,-0.13235402
http://example.org/publication-ontology#author_Anne-Katherine_Jasensky,109,0,0.055985972,0.11466646
http://example.org/publication-ontology#author_Anne-Kathrin_Schmuck,110,3,0.10766598,-0.032955706
http://example.org/publication-ontology#author_Anne_H._H._Ngu,111,2,-0.3270526,-0.12083918
http://example.org/publication-ontology#author_Anne_Petrick,112,0,0.005671382,0.10403091
http://example.org/publication-ontology#author_Ante_Siljeg,113,0,0.017207108,0.22091705
http://example.org/publication-ontology#author_Anthony_A._Maciejewski,114,3,0.20468447,-0.17524111
http://example.org/publication-ontology#author_Anthony_Corso_0001,115,2,-0.2927418,0.047130883
http://example.org/publication-ontology#author_Anthony_GX-Chen,116,3,0.2912509,-0.108531296
http://example.org/publication-ontology#author_Antoine_Archambault,117,3,0.20441559,-0.16530752
http://example.org/publication-ontology#author_Anton_Donner,118,0,-0.03292703,0.17368469
http://example.org/publication-ontology#author_Anton_Shapkin,119,3,0.34121475,-0.008505046
http://example.org/publication-ontology#author_Antonia_Papandreou-Suppappola,120,3,0.2903049,-0.117747664
http://example.org/publication-ontology#author_Antonia_Wachter-Zeh,121,0,0.06352459,0.38006532
http://example.org/publication-ontology#author_Antonin_Raffin,122,2,-0.2825088,-0.00655663
http://example.org/publication-ontology#author_Antonina_Aleksandrovna_Chechina,123,3,0.27753964,-0.11638075
http://example.org/publication-ontology#author_Antonio_C._Caputo,124,3,0.2447815,-0.15028548
http://example.org/publication-ontology#author_Antonio_Liotta,125,3,0.09674664,-0.10189116
http://example.org/publication-ontology#author_Antonio_Plaza,126,2,-0.12639555,-0.0927335
http://example.org/publication-ontology#author_Anurag_Aribandi,127,2,-0.18560895,0.011253774
http://example.org/publication-ontology#author_Arash_A._Amini,128,0,-0.039466046,0.20741308
http://example.org/publication-ontology#author_Aravind_Rajeswaran,129,2,-0.30323327,-0.0024442673
http://example.org/publication-ontology#author_Ardimas_Andi_Purwita,130,3,0.24977493,-0.05966401
http://example.org/publication-ontology#author_Aristidis_Protopsaltis,131,3,-0.0033931807,-0.09601319
