"id:ID","name",":LABEL"
"author_Jin_Cheng_0002","Jin Cheng 0002","Author"
"author_Georg_Martius","Georg Martius","Author"
"author_Pavel_Kolev","Pavel Kolev","Author"
"author_James_Staley","James Staley","Author"
"author_Elaine_Short","Elaine Short","Author"
"author_Shivam_Goel","Shivam Goel","Author"
"author_Yash_Shukla","Yash Shukla","Author"
"author_Joo_Guilherme_Madeira_Arajo","Joo Guilherme Madeira Arajo","Author"
"author_Miguel_Vasco","Miguel Vasco","Author"
"author_Takuma_Seno","Takuma Seno","Author"
"author_Kenta_Kawamoto","Kenta Kawamoto","Author"
"author_Kaushik_Subramanian","Kaushik Subramanian","Author"
"author_Peter_R._Wurman","Peter R. Wurman","Author"
"author_Thomas_Wei","Thomas Wei","Author"
"author_Roberto_Calandra","Roberto Calandra","Author"
"author_Matteo_Papini","Matteo Papini","Author"
"author_Giorgio_Manganini","Giorgio Manganini","Author"
"author_Robert_J._Moss","Robert J. Moss","Author"
"author_Anthony_Corso_0001","Anthony Corso 0001","Author"
"author_Jef_Caers","Jef Caers","Author"
"author_Mykel_J._Kochenderfer","Mykel J. Kochenderfer","Author"
"author_Jan_de_Priester","Jan de Priester","Author"
"author_Zachary_I._Bell","Zachary I. Bell","Author"
"author_Prashant_Ganesh","Prashant Ganesh","Author"
"author_Ricardo_G._Sanfelice","Ricardo G. Sanfelice","Author"
"author_Allan_Zhou","Allan Zhou","Author"
"author_Vikash_Kumar","Vikash Kumar","Author"
"author_Chelsea_Finn","Chelsea Finn","Author"
"author_Aravind_Rajeswaran","Aravind Rajeswaran","Author"
"author_Owen_Oertell","Owen Oertell","Author"
"author_Jonathan_D._Chang","Jonathan D. Chang","Author"
"author_Yiyi_Zhang","Yiyi Zhang","Author"
"author_Kiant_Brantley","Kiant Brantley","Author"
"author_Wen_Sun_0002","Wen Sun 0002","Author"
"author_Marcel_Hussing","Marcel Hussing","Author"
"author_Jorge_A._Mendez","Jorge A. Mendez","Author"
"author_Anisha_Singrodia","Anisha Singrodia","Author"
"author_Cassandra_Kent","Cassandra Kent","Author"
"author_Eric_Eaton","Eric Eaton","Author"
"author_Michael_Lu","Michael Lu","Author"
"author_Matin_Aghaei","Matin Aghaei","Author"
"author_Anant_Raj","Anant Raj","Author"
"author_Sharan_Vaswani","Sharan Vaswani","Author"
"author_Jacob_Adamczyk","Jacob Adamczyk","Author"
"author_Volodymyr_Makarenko","Volodymyr Makarenko","Author"
"author_Stas_Tiomkin","Stas Tiomkin","Author"
"author_Rahul_V._Kulkarni","Rahul V. Kulkarni","Author"
"author_Johannes_Ackermann","Johannes Ackermann","Author"
"author_Takayuki_Osa","Takayuki Osa","Author"
"author_Masashi_Sugiyama","Masashi Sugiyama","Author"
"author_Oliver_Jrnefelt","Oliver Jrnefelt","Author"
"author_Mahdi_Kallel","Mahdi Kallel","Author"
"author_Carlo_D'Eramo","Carlo D'Eramo","Author"
"author_Rafael_Rafailov","Rafael Rafailov","Author"
"author_Kyle_Beltran_Hatch","Kyle Beltran Hatch","Author"
"author_Anikait_Singh","Anikait Singh","Author"
"author_Aviral_Kumar","Aviral Kumar","Author"
"author_Laura_M._Smith","Laura M. Smith","Author"
"author_Ilya_Kostrikov","Ilya Kostrikov","Author"
"author_Philippe_Hansen-Estruch","Philippe Hansen-Estruch","Author"
"author_Victor_Kolev","Victor Kolev","Author"
"author_Philip_J._Ball","Philip J. Ball","Author"
"author_Jiajun_Wu_0001","Jiajun Wu 0001","Author"
"author_Sergey_Levine","Sergey Levine","Author"
"author_Adriana_Hugessen","Adriana Hugessen","Author"
"author_Roger_Creus_Castanyer","Roger Creus Castanyer","Author"
"author_Faisal_Mohamed","Faisal Mohamed","Author"
"author_Glen_Berseth","Glen Berseth","Author"
"author_Nadav_Amir","Nadav Amir","Author"
"author_Yael_Niv","Yael Niv","Author"
"author_Angela_Langdon","Angela Langdon","Author"
"author_Gautham_Vasan","Gautham Vasan","Author"
"author_Yan_Wang","Yan Wang","Author"
"author_Fahim_Shahriar","Fahim Shahriar","Author"
"author_James_Bergstra","James Bergstra","Author"
"author_Martin_Jgersand","Martin Jgersand","Author"
"author_Nicholas_E._Corrado","Nicholas E. Corrado","Author"
